"ID","APPLICATION_DE_REF_NUMBER","CUSTOMER_ID","CALL_TYPE","MODEL_NAME","INPUT","OUTPUT","CREATED_DATETIME"
6196,DE_20260331_00000110,,DP_ModelExecution,RB_INC_008,"{""cif_fn"":null,""Q1162"":""1.0"",""Q1171"":""-99999.0"",""Q1091"":""19.0"",""Q1190"":""-99999.0"",""Q1148"":""-99999.0"",""Q1183"":""-99999.0"",""Q1167"":""-99999.0"",""Q1188"":""-99999.0"",""Q1083"":""-99999.0"",""Q1170"":""-99999.0"",""Q1189"":""-99999.0"",""Q1180"":""-99999.0"",""Q1086"":""2.0"",""Q1197"":""2.0"",""Q1151"":""-99999.0"",""Q1154"":""TM.302F5.1"",""Q1191"":""20.0"",""Q1150"":""-99999.0"",""Q1082"":""20.0"",""Q1185"":""-99999.0"",""Q1176"":""-99999.0"",""Q1177"":""-99999.0"",""Q1163"":""-99999.0"",""Q1178"":""-99999.0"",""Q1174"":""-99999.0"",""Q1149"":""-99999.0"",""Q1122"":""0.0"",""Q1156"":""-99999.0"",""Q1155"":""6"",""Q1192"":""0.0"",""Q1181"":""-99999.0"",""Q1200"":""0.0"",""Q1195"":""2.0"",""Q1169"":""-99999.0"",""Q1179"":""-99999.0"",""Q1182"":""-99999.0"",""Q1152"":""2.0""}","{""0"":{""cif_fn"":null,""prediction"":""2""}}",2026-03-31 19:03:23.038
6197,DE_20260331_00000113,"8721062",DP_ModelExecution,RB_INC_008,"{""cif_fn"":""8721062"",""Q1162"":""5.0"",""Q1171"":""-99999.0"",""Q1091"":""119.0"",""Q1190"":""27.0"",""Q1148"":""42.333"",""Q1183"":""-99999.0"",""Q1167"":""0.0"",""Q1188"":""30.0"",""Q1083"":""1.0"",""Q1170"":""-99999.0"",""Q1189"":""30.0"",""Q1180"":""27.0"",""Q1086"":""2.0"",""Q1197"":""-2.0"",""Q1151"":""96.0"",""Q1154"":""TM.302F5.1"",""Q1191"":""7.5"",""Q1150"":""-99999.0"",""Q1082"":""15.0"",""Q1185"":""97.0"",""Q1176"":""-0.064"",""Q1177"":""0.5"",""Q1163"":""89.0"",""Q1178"":""9.814"",""Q1174"":""7.167"",""Q1149"":""1.0"",""Q1122"":""0.067"",""Q1156"":""88.0"",""Q1155"":""6"",""Q1192"":""0.5"",""Q1181"":""1.0"",""Q1200"":""0.5"",""Q1195"":""2.0"",""Q1169"":""-99999.0"",""Q1179"":""30.0"",""Q1182"":""1.0"",""Q1152"":""2.0""}","{""0"":{""cif_fn"":""8721062"",""prediction"":""2""}}",2026-03-31 19:59:11.205
6198,DE_20260331_00000113,"8721062",DP_ModelExecution,RB_INC_006,"{""cif_fn"":""8721062"",""Q1166"":""0.083"",""Q1191"":""7.5"",""Q1185"":""97.0"",""Q1082"":""15.0"",""Q1149"":""1.0"",""Q1161"":""1.0"",""Q1173"":""93.0"",""Q1174"":""7.167"",""Q1150"":""-99999.0"",""Q1148"":""42.333"",""Q1192"":""0.5"",""Q1175"":""62.0"",""Q1172"":""77.5"",""Q1182"":""1.0"",""Q1167"":""0.0"",""Q1181"":""1.0"",""Q1193"":""0.083"",""Q1168"":""0.0"",""Q1153"":""-1.0"",""Q1196"":""2.0"",""Q1199"":""-1.0"",""Q1198"":""2.0"",""Q1152"":""2.0"",""Q1201"":""0.167""}","{""0"":{""cif_fn"":""8721062"",""prediction"":""1""}}",2026-03-31 19:59:11.407
